CustomerID,Lookalikes
C0001,"[('C0111', 0.9838767689511781), ('C0012', 0.9400548758447643), ('C0003', 0.8352868556636367)]"
C0002,"[('C0159', 0.9161538870978624), ('C0088', 0.8824351406843711), ('C0031', 0.8156262496344369)]"
C0003,"[('C0190', 0.9997124301969553), ('C0001', 0.8352868556636367), ('C0012', 0.8236974483678874)]"
C0004,"[('C0112', 0.990197643902533), ('C0007', 0.9326395716465838), ('C0010', 0.912931487882627)]"
C0005,"[('C0109', 0.9781420233278626), ('C0089', 0.9239497726634124), ('C0012', 0.9173555309150129)]"
C0006,"[('C0110', 0.9651052103244537), ('C0160', 0.9235446877255338), ('C0182', 0.9040785560705717)]"
C0007,"[('C0027', 0.9557271070964546), ('C0025', 0.9537541630857579), ('C0112', 0.9392796644050224)]"
C0008,"[('C0175', 0.9542640904793703), ('C0026', 0.915488756762187), ('C0028', 0.7741259164575942)]"
C0009,"[('C0189', 0.9542425346880951), ('C0028', 0.9321202343534774), ('C0024', 0.9267626547961897)]"
C0010,"[('C0013', 0.9821756920531564), ('C0182', 0.927904427155945), ('C0164', 0.925259813740904)]"
C0011,"[('C0030', 0.957208855636928), ('C0086', 0.8731852419645794), ('C0087', 0.8546267043539418)]"
C0012,"[('C0001', 0.9400548758447643), ('C0111', 0.9230725859569958), ('C0005', 0.9173555309150129)]"
C0013,"[('C0010', 0.9821756920531564), ('C0110', 0.9393374896138093), ('C0029', 0.9354982327652054)]"
C0014,"[('C0015', 0.9802553595085183), ('C0092', 0.9747252312521496), ('C0053', 0.963040091174292)]"
C0015,"[('C0014', 0.9802553595085183), ('C0018', 0.9506234403685351), ('C0092', 0.9238399213002272)]"
C0016,"[('C0044', 0.9703131562225965), ('C0157', 0.9086422014588684), ('C0155', 0.8611300483891194)]"
C0017,"[('C0048', 0.8470542948528587), ('C0045', 0.8287626512161755), ('C0051', 0.6848272001097527)]"
C0018,"[('C0020', 0.9513675585199072), ('C0015', 0.9506234403685351), ('C0014', 0.931145021910178)]"
C0019,"[('C0019', 0.9999999999999998), ('C0196', 0.9241448343412939), ('C0188', 0.920995539742692)]"
C0020,"[('C0018', 0.9513675585199072), ('C0050', 0.9202699385081152), ('C0108', 0.8586826399050883)]"
